[Information]
CSD-R7
V6.71
[InInsPatch]
IN INS PATCH,->A,A->,->B,B->,->C,C->,->D,D->,
CH 1 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 1 INS2 ,DSP HY SLOT2 1,DSP HY SLOT3 1,NONE,NONE,NONE,NONE,NONE,NONE,
CH 2 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 2 INS2 ,DSP HY SLOT2 2,DSP HY SLOT3 2,NONE,NONE,NONE,NONE,NONE,NONE,
CH 3 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 3 INS2 ,DSP HY SLOT2 3,DSP HY SLOT3 3,NONE,NONE,NONE,NONE,NONE,NONE,
CH 4 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 4 INS2 ,DSP HY SLOT2 4,DSP HY SLOT3 4,NONE,NONE,NONE,NONE,NONE,NONE,
CH 5 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 5 INS2 ,DSP HY SLOT2 5,DSP HY SLOT3 5,NONE,NONE,NONE,NONE,NONE,NONE,
CH 6 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 6 INS2 ,DSP HY SLOT2 6,DSP HY SLOT3 6,NONE,NONE,NONE,NONE,NONE,NONE,
CH 7 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 7 INS2 ,DSP HY SLOT2 7,DSP HY SLOT3 7,NONE,NONE,NONE,NONE,NONE,NONE,
CH 8 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 8 INS2 ,DSP HY SLOT2 8,DSP HY SLOT3 8,NONE,NONE,NONE,NONE,NONE,NONE,
CH 9 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 9 INS2 ,DSP HY SLOT2 9,DSP HY SLOT3 9,NONE,NONE,NONE,NONE,NONE,NONE,
CH 10 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 10 INS2 ,DSP HY SLOT2 10,DSP HY SLOT3 10,NONE,NONE,NONE,NONE,NONE,NONE,
CH 11 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 11 INS2 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 12 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 12 INS2 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 13 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 13 INS2 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 14 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 14 INS2 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 15 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 15 INS2 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 16 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 16 INS2 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 17 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 17 INS2 ,DSP HY SLOT2 11,DSP HY SLOT3 11,NONE,NONE,NONE,NONE,NONE,NONE,
CH 18 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 18 INS2 ,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 19 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 19 INS2 ,DSP HY SLOT2 13,DSP HY SLOT3 13,NONE,NONE,NONE,NONE,NONE,NONE,
CH 20 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 20 INS2 ,DSP HY SLOT2 14,DSP HY SLOT3 14,NONE,NONE,NONE,NONE,NONE,NONE,
CH 21 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 21 INS2 ,DSP HY SLOT2 15,DSP HY SLOT3 15,NONE,NONE,NONE,NONE,NONE,NONE,
CH 22 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 22 INS2 ,DSP HY SLOT2 16,DSP HY SLOT3 16,NONE,NONE,NONE,NONE,NONE,NONE,
CH 23 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 23 INS2 ,DSP HY SLOT2 17,DSP HY SLOT3 17,NONE,NONE,NONE,NONE,NONE,NONE,
CH 24 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 24 INS2 ,DSP HY SLOT2 18,DSP HY SLOT3 18,NONE,NONE,NONE,NONE,NONE,NONE,
CH 25 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 25 INS2 ,DSP HY SLOT2 19,DSP HY SLOT3 19,NONE,NONE,NONE,NONE,NONE,NONE,
CH 26 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 26 INS2 ,DSP HY SLOT2 20,DSP HY SLOT3 20,NONE,NONE,NONE,NONE,NONE,NONE,
CH 27 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 27 INS2 ,DSP HY SLOT2 21,DSP HY SLOT3 21,NONE,NONE,NONE,NONE,NONE,NONE,
CH 28 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 28 INS2 ,DSP HY SLOT2 22,DSP HY SLOT3 22,NONE,NONE,NONE,NONE,NONE,NONE,
CH 29 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 29 INS2 ,DSP HY SLOT2 23,DSP HY SLOT3 23,NONE,NONE,NONE,NONE,NONE,NONE,
CH 30 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 30 INS2 ,DSP HY SLOT2 24,DSP HY SLOT3 24,NONE,NONE,NONE,NONE,NONE,NONE,
CH 31 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 31 INS2 ,DSP HY SLOT2 25,DSP HY SLOT3 25,NONE,NONE,NONE,NONE,NONE,NONE,
CH 32 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 32 INS2 ,DSP HY SLOT2 26,DSP HY SLOT3 26,NONE,NONE,NONE,NONE,NONE,NONE,
