[Information]
CSD-R7
V6.71
[InName]
IN,NAME,COLOR,ICON,
_001,KICK  ,Red,Blank,
_002,SN TRIG,Red,Blank,
_003,SN UP ,Red,Blank,
_004,SN DOWN,Red,Blank,
_005,TOM 1 ,Red,Blank,
_006,TOM 2 ,Red,Blank,
_007,TOM 3 ,Red,Blank,
_008,HI HAT,Red,Blank,
_009,OH L  ,Red,Blank,
_010,OH R  ,Red,Blank,
_011,SPD-SX L,Red,Blank,
_012,SPD-SX R,Red,Blank,
_013,DRUM TB,Off,Blank,
_014,Trig 1,Off,Blank,
_015,Trig 2,Off,Blank,
_016,Trig 3,Off,Blank,
_017,Bass  ,Blue,Blank,
_018,Sub Synth,Blue,Blank,
_019,EG 1 L,SkyBlue,Blank,
_020,EG 1 R,SkyBlue,Blank,
_021,EG 2 L,SkyBlue,Blank,
_022,EG 2 R,SkyBlue,Blank,
_023, AG 1 ,SkyBlue,Blank,
_024, AG 2 ,SkyBlue,Blank,
_025,Keys 1 L,Pink,Blank,
_026,Keys 1 R,Pink,Blank,
_027,Pads 1 L,Pink,Blank,
_028,Pads 1 R,Pink,Blank,
_029,Keys 2 L,Pink,Blank,
_030,Keys 2 R,Pink,Blank,
_031,Pads 2 L,Pink,Blank,
_032,Pads 2 R,Pink,Blank,
_033,STRING 1,Purple,Blank,
_034,STRING 2,Purple,Blank,
_035,STRING 3,Purple,Blank,
_036,STRING 4,Purple,Blank,
_037,PERC L,LightGreen,Blank,
_038,PERC R,LightGreen,Blank,
_039,BASS R,LightGreen,Blank,
_040,BASS L,LightGreen,Blank,
_041,GTR R ,LightGreen,Blank,
_042,GTR L ,LightGreen,Blank,
_043,AUX R ,LightGreen,Blank,
_044,AUX L ,LightGreen,Blank,
_045,BGV R ,LightGreen,Blank,
_046,BGV L ,LightGreen,Blank,
_047,Click ,Off,Blank,
_048,Count ,Off,Blank,
_049,1,Yellow,Blank,
_050,2,Yellow,Blank,
_051,3,Yellow,Blank,
_052,4,Yellow,Blank,
_053,5,Yellow,Blank,
_054,6,Yellow,Blank,
_055,7,Yellow,Blank,
_056,8,Yellow,Blank,
_057,Choir 1,Yellow,Blank,
_058,Choir 2,Yellow,Blank,
_059,Choir 3,Yellow,Blank,
_060,Choir 4,Yellow,Blank,
_061,A,Orange,Blank,
_062,B,Orange,Blank,
_063,C,Orange,Blank,
_064,D,Orange,Blank,
_065,SPK 5,Orange,Blank,
_066,SPK 6,Orange,Blank,
_067,ch67,OFF,Blank,
_068,ch68,OFF,Blank,
_069,ch69,OFF,Blank,
_070,ch70,OFF,Blank,
_071,ch71,OFF,Blank,
_072,RUSS TB,Off,Blank,
_073,Flex 1,Blue,Blank,
_074,Flex 2,Blue,Blank,
_075,Flex 3,Blue,Blank,
_076,Flex 4,Blue,Blank,
_077,Flex 5,Blue,Blank,
_078,Flex 6,Blue,Blank,
_079,Flex 7,Blue,Blank,
_080,Flex 8,Blue,Blank,
_081,Flex 9,Blue,Blank,
_082,Flex 10,Blue,Blank,
_083,Keys 3 L,Pink,Blank,
_084,Keys 3 R,Pink,Blank,
_085,Crowd 1,Off,Blank,
_086,Crowd 2,Off,Blank,
_087,Crowd 3,Off,Blank,
_088,Crowd 4,Off,Blank,
_089,ch89,Off,Blank,
_090,ch90,Off,Blank,
_091,ch91,Off,Blank,
_092,ch92,Off,Blank,
_093,ch93,Off,Blank,
_094,ch94,Off,Blank,
_095,ch95,Off,Blank,
_096,ch96,Off,Blank,
_097,ch97,Off,Blank,
_098,ch98,Off,Blank,
_099,ch99,Off,Blank,
_100,ch100,Off,Blank,
_101,ch101,Off,Blank,
_102,ch102,Off,Blank,
_103,ch103,Off,Blank,
_104,ch104,Off,Blank,
_105,Video L,Green,Blank,
_106,Video R,Green,Blank,
_107,Spotify L,Green,Blank,
_108,Spotify R,Green,Blank,
_109,av k in,Orange,Blank,
_110,av k out,Orange,Blank,
_111,av sn t,Orange,Blank,
_112,av sn b,Orange,Blank,
_113,av t1 ,Orange,Blank,
_114,av t2 ,Orange,Blank,
_115,av t3 ,Orange,Blank,
_116,av hh ,Orange,Blank,
_117,av oh ,Orange,Blank,
_118,ch118,Off,Blank,
_119,Comm 1,Off,Blank,
_120,Comm 2,Off,Blank,
_121,Chorus L Rtn,White,Blank,
_122,Chorus R Rtn,White,Blank,
_123,Vocal Verb L Rtn,White,Blank,
_124,Vocal Verb R Rtn,White,Blank,
_125,Drum Verb L Rtn,White,Blank,
_126,Drum Verb R Rtn,White,Blank,
_127,Glue Verb L Rtn,White,Blank,
_128,Glue Verb R Rtn,White,Blank,
_129,Slap L Rtn,White,Blank,
_130,Slap R Rtn,White,Blank,
_131,DELAY L Rtn,White,Blank,
_132,DELAY R Rtn,White,Blank,
_133,Chorus PM7 Rtn L,White,Blank,
_134,Chorus PM7 Rtn R,White,Blank,
_135,Vox Verb PM7 Rtn L,White,Blank,
_136,Vox Verb PM7 Rtn R,White,Blank,
_137,Drum Verb PM7 Rtn L,White,Blank,
_138,Drum Verb PM7 Rtn R,White,Blank,
_139,Glue Verb PM7 Rtn L,White,Blank,
_140,Glue Verb PM7 Rtn R,White,Blank,
_141,Slap PM7 Rtn L,White,Blank,
_142,Slap PM7 Rtn R,White,Blank,
_143,Delay PM7 Rtn L,White,Blank,
_144,Delay PM,White,Video,
