[Information]
CSD-R7
V6.71
[MixName]
MIX,NAME,COLOR,ICON,
_01,Drums Dry L,Red,Blank,
_02,Drums Dry R,Red,Blank,
_03,Drums Smash L,Red,Blank,
_04,Drums Smash R,Red,Blank,
_05,K/S Bus,Red,Blank,
_06,Bass Bus,Blue,Blank,
_07,Guitar Bus L,SkyBlue,Blank,
_08,Guitar Bus R,SkyBlue,Blank,
_09,Keys Bus L,Pink,Blank,
_10,Keys Bus R,Pink,Blank,
_11,Vocal Bus,Yellow,Blank,
_12,Vocal Parallel Bus,Yellow,Blank,
_13,Chorus L,White,Blank,
_14,Chorus R,White,Blank,
_15,Vocal Verb L,White,Blank,
_16,Vocal Verb R,White,Blank,
_17,Drum Verb L,White,Blank,
_18,Drum Verb R,White,Blank,
_19,Glue Verb L,White,Blank,
_20,Glue Verb R,White,Blank,
_21,Slap L,White,Blank,
_22,Slap R,White,Blank,
_23,DELAY L,White,Blank,
_24,DELAY R,White,Blank,
_25,av1 Drums L,Orange,Blank,
_26,av1 Drums R,Orange,Blank,
_27,av2 Click,Orange,Blank,
_28,av3 Bass,Orange,Blank,
_29,av4 EG 1 L,Orange,Blank,
_30,av4 EG 1 R,Orange,Blank,
_31,av5 EG 2 L,Orange,Blank,
_32,av5 EG 2 R,Orange,Blank,
_33,av6 AG 1,Orange,Blank,
_34,av7 AG 2,Orange,Blank,
_35,av8 Trx L,Orange,Blank,
_36,av8 Trx R,Orange,Blank,
_37,9 Keys-1,Orange,Blank,
_38,9 Keys-1,Orange,Blank,
_39,10 Key-2,Orange,Blank,
_40,10 Key-2,Orange,Blank,
_41,av11 HH1,Orange,Blank,
_42,av11 HH1,Orange,Blank,
_43,av12 HH2,Orange,Blank,
_44,av12 HH2,Orange,Blank,
_45,av13 HH3,Orange,Blank,
_46,av14 HH4,Orange,Blank,
_47,av15 Vx7,Orange,Blank,
_48,av16 Vx8,Orange,Blank,
_49,avAmb L,Orange,Blank,
_50,avAmb R,Orange,Blank,
_51,avPGM,Orange,Blank,
_52,Dialog Stream,Orange,Blank,
_53,Mon 1,Orange,Blank,
_54,Mon 2,Orange,Blank,
_55,Mon 3,Orange,Blank,
_56,Mon 4,Orange,Blank,
_57,Choir Mn,Orange,Blank,
_58,SHOUT,Orange,Blank,
_59,IEM 5 L,Orange,Blank,
_60,IEM 5 R,Orange,Blank,
_61,MX61,Orange,Blank,
_62,MX62,Orange,Blank,
_63,MX63,Orange,Blank,
_64,MX64,Orange,Blank,
_65,MX65,Orange,Blank,
_66,MX66,Orange,Blank,
_67,MX67,Orange,Blank,
_68,MX68,Orange,Blank,
_69,MX69,Orange,Blank,
_70,MX70,Orange,Blank,
_71,MX71,Orange,Blank,
_72,MX72,Orange,Blank,
