[Information]
CSD-R7
V6.71
[MtxName]
MATRIX,NAME,COLOR,ICON,
_01,PA L,Orange,Blank,
_02,PA R,Orange,Blank,
_03,Broadcast L,Orange,Blank,
_04,Broadcast R,Orange,Blank,
_05,Wavecast,Orange,Blank,
_06,Tech,Orange,Blank,
_07,Nursery,Orange,Blank,
_08,SVSI,Orange,Blank,
_09,ASL,Orange,Blank,
_10,Alcove,Orange,Blank,
_11,Lobby,Orange,Blank,
_12,,Orange,Blank,
_13,Chorus PM7 L,Orange,Blank,
_14,Chorus PM7 R,Orange,Blank,
_15,Vocal Verb PM7 L,Orange,Blank,
_16,Vocal Verb PM7 R,Orange,Blank,
_17,Drum Verb PM7 L,Orange,Blank,
_18,Drum Verb PM7 R,Orange,Blank,
_19,Glue Verb PM7 L,Orange,Blank,
_20,Glue Verb PM7 R,Orange,Blank,
_21,Slap PM7 L,Orange,Blank,
_22,Slap PM7 R,Orange,Blank,
_23,DELAY PM7 L,Orange,Blank,
_24,DELAY PM7 R,Orange,Blank,
_25,avDrmsMT,Orange,Blank,
_26,avDrmsMT,Orange,Blank,
_27,MT27,Orange,Blank,
_28,MT28,Orange,Blank,
_29,MT29,Orange,Blank,
_30,MT30,Orange,Blank,
_31,MT31,Orange,Blank,
_32,MT32,Orange,Blank,
_33,MT33,Orange,Blank,
_34,MT34,Orange,Blank,
_35,MT35,Orange,Blank,
_36,MT36,Orange,Blank,
