17883|2024/07/31|10:44:50|CSD(DSP)|1A |SYSINFO |TL  Network building(0,1,0)                                                   
17884|2024/07/31|10:44:51|CSD(DSP)|1A |SYSINFO |WordClock Lock                                                                
17885|2024/07/31|10:44:53|CSD(I/O)|L1 |SYSINFO |Power State : A-[On]                                                          
17886|2024/07/31|10:44:53|CSD(I/O)|L1 |SYSINFO |Power State : B-[On]                                                          
17887|2024/07/31|10:44:53|CSD(I/O)|L1 |SYSINFO |Cooling Fan State : [Fine]                                                    
17888|2024/07/31|10:44:58|RPio    |M1 |SYSINFO |Power State : A-[On]                                                          
17889|2024/07/31|10:44:58|RPio    |M1 |SYSINFO |Power State : B-[On]                                                          
17890|2024/07/31|10:44:58|RPio    |M1 |SYSINFO |Cooling Fan State : [Fine]                                                    
17891|2024/07/31|10:45:08|CSD(DSP)|1A |SYSINFO |Date/Time updated 2024/07/31 10:45:12 to 2024/07/31 10:45:08.                 
17892|2024/07/31|17:43:03|CSD(DSP)|1A |SYSINFO |CSD-R7 V6.11 Program Start  (Unit Mode: Default)                              
17893|2024/07/31|17:43:04|CSD(DSP)|1A |SYSINFO |Power State : A-[On], B-[On]                                                  
17894|2024/07/31|17:43:04|CSD(DSP)|1A |SYSINFO |Cooling Fan State : [Fine]                                                    
17895|2024/07/31|17:43:04|CSD(DSP)|1A |SYSINFO |Battery Fine                                                                  
17896|2024/07/31|17:43:05|CSD(DSP)|1A |SYSINFO |CN  Network building(1,1,0)                                                   
17897|2024/07/31|17:43:09|CSD(DSP)|1A |SYSINFO |Same event occurred 2 times                                                   
17898|2024/07/31|17:43:09|CSD(DSP)|1A |SYSINFO |TL  Network building(0,1,0)                                                   
17899|2024/07/31|17:43:10|CSD(DSP)|1A |SYSINFO |WordClock Lock                                                                
17900|2024/07/31|17:43:12|CSD(I/O)|L1 |SYSINFO |Power State : A-[On]                                                          
17901|2024/07/31|17:43:12|CSD(I/O)|L1 |SYSINFO |Power State : B-[On]                                                          
17902|2024/07/31|17:43:12|CSD(I/O)|L1 |SYSINFO |Cooling Fan State : [Fine]                                                    
17903|2024/07/31|17:43:17|RPio    |M1 |SYSINFO |Power State : A-[On]                                                          
17904|2024/07/31|17:43:17|RPio    |M1 |SYSINFO |Power State : B-[On]                                                          
17905|2024/07/31|17:43:17|RPio    |M1 |SYSINFO |Cooling Fan State : [Fine]                                                    
17906|2024/07/31|17:43:21|CSD(DSP)|1A |SYSINFO |Date/Time updated 2024/07/31 17:43:23 to 2024/07/31 17:43:21.                 
17907|2024/07/31|17:49:58|CSD(DSP)|1A |SYSINFO |Date/Time updated 2024/07/31 17:49:58 to 2024/07/31 17:49:58.                 
17908|2024/07/31|17:54:36|CSD(DSP)|1A |SYSINFO |Date/Time updated 2024/07/31 17:54:35 to 2024/07/31 17:54:36.                 
17909|2024/08/01|10:36:08|CSD(DSP)|1A |SYSINFO |CSD-R7 V6.11 Program Start  (Unit Mode: Default)                              
17910|2024/08/01|10:36:10|CSD(DSP)|1A |SYSINFO |Power State : A-[On], B-[On]                                                  
17911|2024/08/01|10:36:10|CSD(DSP)|1A |SYSINFO |Cooling Fan State : [Fine]                                                    
